"Avalon Park           ",20063,32
"Avalon Park           ",20064,23
"Avalon Park           ",20071,32
"Avalon Park           ",20072,23
"Avalon Park           ",20073,41
"Avalon Park           ",20074,34
"Avalon Park           ",20081,35
"Avalon Park           ",20082,28
"Avalon Park           ",20083,39
"Avalon Park           ",20084,40
"Avalon Park           ",20091,50
"Avalon Park           ",20092,18
"Avalon Park           ",20093,36
"Avalon Park           ",20094,32
"Avalon Park           ",20101,35
"Avalon Park           ",20102,37
"Avalon Park           ",20103,31
"Avalon Park           ",20104,32
"Avalon Park           ",20111,47
"Avalon Park           ",20112,33
"Avalon Park           ",20113,23
"Avalon Park           ",20114,39
"Avalon Park           ",20121,37
"Avalon Park           ",20122,44
"Avalon Park           ",20123,45
"Avalon Park           ",20124,22
"Avondale              ",20051,11
"Avondale              ",20052,7
"Avondale              ",20053,10
"Avondale              ",20054,8
"Avondale              ",20061,19
"Avondale              ",20062,10
"Avondale              ",20063,17
"Avondale              ",20064,21
"Avondale              ",20071,19
"Avondale              ",20072,29
"Avondale              ",20073,34
"Avondale              ",20074,49
"Avondale              ",20081,60
"Avondale              ",20082,75
"Avondale              ",20083,65
"Avondale              ",20084,77
"Avondale              ",20091,91
"Avondale              ",20092,42
"Avondale              ",20093,114
"Avondale              ",20094,105
"Avondale              ",20101,92
"Avondale              ",20102,97
"Avondale              ",20103,110
"Avondale              ",20104,74
"Avondale              ",20111,74
"Avondale              ",20112,67
"Avondale              ",20113,57
"Avondale              ",20114,59
"Avondale              ",20121,63
"Avondale              ",20122,82
"Avondale              ",20123,50
"Avondale              ",20124,30
"Belmont Cragin        ",20051,40
"Belmont Cragin        ",20052,31
"Belmont Cragin        ",20053,42
"Belmont Cragin        ",20054,29
"Belmont Cragin        ",20061,41
"Belmont Cragin        ",20062,52
"Belmont Cragin        ",20063,55
"Belmont Cragin        ",20064,56
"Belmont Cragin        ",20071,65
"Belmont Cragin        ",20072,87
"Belmont Cragin        ",20073,105
"Belmont Cragin        ",20074,137
"Belmont Cragin        ",20081,158
"Belmont Cragin        ",20082,187
"Belmont Cragin        ",20083,218
"Belmont Cragin        ",20084,198
"Belmont Cragin        ",20091,247
"Belmont Cragin        ",20092,125
"Belmont Cragin        ",20093,305
"Belmont Cragin        ",20094,278
"Belmont Cragin        ",20101,210
"Belmont Cragin        ",20102,247
"Belmont Cragin        ",20103,271
"Belmont Cragin        ",20104,198
"Belmont Cragin        ",20111,184
"Belmont Cragin        ",20112,172
"Belmont Cragin        ",20113,159
"Belmont Cragin        ",20114,163
"Belmont Cragin        ",20121,146
"Belmont Cragin        ",20122,148
"Belmont Cragin        ",20123,146
"Belmont Cragin        ",20124,115
"Beverly               ",20051,17
"Beverly               ",20052,13
"Beverly               ",20053,15
"Beverly               ",20054,23
"Beverly               ",20061,14
"Beverly               ",20062,18
"Beverly               ",20063,19
"Beverly               ",20064,17
"Beverly               ",20071,27
"Beverly               ",20072,18
"Beverly               ",20073,24
"Beverly               ",20074,24
"Beverly               ",20081,27
"Beverly               ",20082,41
"Beverly               ",20083,29
"Beverly               ",20084,27
"Beverly               ",20091,37
"Beverly               ",20092,22
"Beverly               ",20093,33
"Beverly               ",20094,39
"Beverly               ",20101,25
"Beverly               ",20102,37
"Beverly               ",20103,36
"Beverly               ",20104,38
"Beverly               ",20111,28
"Beverly               ",20112,42
"Beverly               ",20113,36
"Beverly               ",20114,33
"Beverly               ",20121,33
"Beverly               ",20122,40
"Beverly               ",20123,48
"Beverly               ",20124,18
"Bridgeport            ",20051,12
"Bridgeport            ",20052,13
"Bridgeport            ",20053,8
"Bridgeport            ",20054,10
"Bridgeport            ",20061,15
"Bridgeport            ",20062,6
"Bridgeport            ",20063,8
"Bridgeport            ",20064,11
"Bridgeport            ",20071,18
"Bridgeport            ",20072,17
"Bridgeport            ",20073,20
"Bridgeport            ",20074,16
"Bridgeport            ",20081,32
"Bridgeport            ",20082,18
"Bridgeport            ",20083,22
"Bridgeport            ",20084,28
"Bridgeport            ",20091,39
"Bridgeport            ",20092,20
"Bridgeport            ",20093,30
"Bridgeport            ",20094,39
"Bridgeport            ",20101,38
"Bridgeport            ",20102,41
"Bridgeport            ",20103,29
"Bridgeport            ",20104,35
"Bridgeport            ",20111,33
"Bridgeport            ",20112,29
"Bridgeport            ",20113,20
"Bridgeport            ",20114,24
"Bridgeport            ",20121,29
"Bridgeport            ",20122,36
"Bridgeport            ",20123,19
"Bridgeport            ",20124,18
"Brighton Park         ",20051,14
"Brighton Park         ",20052,11
"Brighton Park         ",20053,21
"Brighton Park         ",20054,11
"Brighton Park         ",20061,18
"Brighton Park         ",20062,22
"Brighton Park         ",20063,33
"Brighton Park         ",20064,19
"Brighton Park         ",20071,27
"Brighton Park         ",20072,41
"Brighton Park         ",20073,36
"Brighton Park         ",20074,53
"Brighton Park         ",20081,66
"Brighton Park         ",20082,59
"Brighton Park         ",20083,80
"Brighton Park         ",20084,77
"Brighton Park         ",20091,109
"Brighton Park         ",20092,43
"Brighton Park         ",20093,123
"Brighton Park         ",20094,95
"Brighton Park         ",20101,78
"Brighton Park         ",20102,88
"Brighton Park         ",20103,97
"Brighton Park         ",20104,75
"Brighton Park         ",20111,66
"Brighton Park         ",20112,58
"Brighton Park         ",20113,49
"Brighton Park         ",20114,44
"Brighton Park         ",20121,50
"Brighton Park         ",20122,69
"Brighton Park         ",20123,66
"Brighton Park         ",20124,41
"Burnside              ",20051,7
"Burnside              ",20052,9
"Burnside              ",20053,10
"Burnside              ",20054,10
"Burnside              ",20061,8
"Burnside              ",20062,6
"Burnside              ",20063,10
"Burnside              ",20064,11
"Burnside              ",20071,14
"Burnside              ",20072,9
"Burnside              ",20073,21
"Burnside              ",20074,15
"Burnside              ",20081,16
"Burnside              ",20082,15
"Burnside              ",20083,17
"Burnside              ",20084,18
"Burnside              ",20091,13
"Burnside              ",20092,8
"Burnside              ",20093,14
"Burnside              ",20094,15
"Burnside              ",20101,17
"Burnside              ",20102,11
"Burnside              ",20103,9
"Burnside              ",20104,7
"Burnside              ",20111,7
"Burnside              ",20112,3
"Burnside              ",20113,9
"Burnside              ",20114,11
"Burnside              ",20121,13
"Burnside              ",20122,14
"Burnside              ",20123,14
"Burnside              ",20124,6
"Calumet Heights       ",20051,31
"Calumet Heights       ",20052,25
"Calumet Heights       ",20053,28
"Calumet Heights       ",20054,31
"Calumet Heights       ",20061,20
"Calumet Heights       ",20062,25
"Calumet Heights       ",20063,42
"Calumet Heights       ",20064,43
"Calumet Heights       ",20071,48
"Calumet Heights       ",20072,34
"Calumet Heights       ",20073,62
"Calumet Heights       ",20074,40
"Calumet Heights       ",20081,37
"Calumet Heights       ",20082,39
"Calumet Heights       ",20083,50
"Calumet Heights       ",20084,36
"Calumet Heights       ",20091,52
"Calumet Heights       ",20092,24
"Calumet Heights       ",20093,43
"Calumet Heights       ",20094,42
"Calumet Heights       ",20101,37
"Calumet Heights       ",20102,49
"Calumet Heights       ",20103,51
"Calumet Heights       ",20104,35
"Calumet Heights       ",20111,21
"Calumet Heights       ",20112,31
"Calumet Heights       ",20113,41
"Calumet Heights       ",20114,40
"Calumet Heights       ",20121,36
"Calumet Heights       ",20122,40
"Calumet Heights       ",20123,74
"Calumet Heights       ",20124,46
"Chatham               ",20051,49
"Chatham               ",20052,39
"Chatham               ",20053,36
"Chatham               ",20054,52
"Chatham               ",20061,74
"Chatham               ",20062,51
"Chatham               ",20063,60
"Chatham               ",20064,69
"Chatham               ",20071,73
"Chatham               ",20072,60
"Chatham               ",20073,85
"Chatham               ",20074,86
"Chatham               ",20081,100
"Chatham               ",20082,73
"Chatham               ",20083,90
"Chatham               ",20084,72
"Chatham               ",20091,103
"Chatham               ",20092,35
"Chatham               ",20093,103
"Chatham               ",20094,106
"Chatham               ",20101,86
"Chatham               ",20102,71
"Chatham               ",20103,91
"Chatham               ",20104,68
"Chatham               ",20111,77
"Chatham               ",20112,66
"Chatham               ",20113,65
"Chatham               ",20114,84
"Chatham               ",20121,80
"Chatham               ",20122,68
"Chatham               ",20123,108
"Chatham               ",20124,58
"Chicago Lawn          ",20051,83
"Chicago Lawn          ",20052,59
"Chicago Lawn          ",20053,86
"Chicago Lawn          ",20054,90
"Chicago Lawn          ",20061,78
"Chicago Lawn          ",20062,80
"Chicago Lawn          ",20063,121
"Chicago Lawn          ",20064,152
"Chicago Lawn          ",20071,149
"Chicago Lawn          ",20072,114
"Chicago Lawn          ",20073,143
"Chicago Lawn          ",20074,172
"Chicago Lawn          ",20081,220
"Chicago Lawn          ",20082,179
"Chicago Lawn          ",20083,200
"Chicago Lawn          ",20084,214
"Chicago Lawn          ",20091,239
"Chicago Lawn          ",20092,86
"Chicago Lawn          ",20093,229
"Chicago Lawn          ",20094,196
"Chicago Lawn          ",20101,190
"Chicago Lawn          ",20102,166
"Chicago Lawn          ",20103,178
"Chicago Lawn          ",20104,144
"Chicago Lawn          ",20111,153
"Chicago Lawn          ",20112,113
"Chicago Lawn          ",20113,137
"Chicago Lawn          ",20114,122
"Chicago Lawn          ",20121,118
"Chicago Lawn          ",20122,150
"Chicago Lawn          ",20123,148
"Chicago Lawn          ",20124,114
"Clearing              ",20051,17
"Clearing              ",20052,14
"Clearing              ",20053,18
"Clearing              ",20054,8
"Clearing              ",20061,14
"Clearing              ",20062,12
"Clearing              ",20063,23
"Clearing              ",20064,23
"Clearing              ",20071,24
"Clearing              ",20072,14
"Clearing              ",20073,26
"Clearing              ",20074,33
"Clearing              ",20081,48
"Clearing              ",20082,39
"Clearing              ",20083,46
"Clearing              ",20084,49
"Clearing              ",20091,45
"Clearing              ",20092,20
"Clearing              ",20093,61
"Clearing              ",20094,71
"Clearing              ",20101,65
"Clearing              ",20102,50
"Clearing              ",20103,72
"Clearing              ",20104,43
"Clearing              ",20111,52
"Clearing              ",20112,48
"Clearing              ",20113,51
"Clearing              ",20114,48
"Clearing              ",20121,55
"Clearing              ",20122,51
"Clearing              ",20123,51
"Clearing              ",20124,44
"Douglas               ",20051,8
"Douglas               ",20052,9
"Douglas               ",20053,12
"Douglas               ",20054,9
"Douglas               ",20061,16
