CA_name,YYYYQ_DOC,Mort_Amt
Austin                ,20063,148000.0
Austin                ,20064,161000.0
Austin                ,20071,160000.0
Austin                ,20072,150000.0
Austin                ,20073,153927.5
Austin                ,20074,169300.0
Austin                ,20081,182350.0
Austin                ,20082,164500.0
Austin                ,20083,174706.0
Austin                ,20084,178190.31
Austin                ,20091,195360.0
Austin                ,20092,180000.0
Austin                ,20093,173404.0
Austin                ,20094,162000.0
Austin                ,20101,157445.5
Austin                ,20102,152896.0
Austin                ,20103,159923.5
Austin                ,20104,144500.0
Austin                ,20111,145498.5
Austin                ,20112,138600.0
Austin                ,20113,140349.0
Austin                ,20114,128000.68
Austin                ,20121,143511.5
Austin                ,20122,141000.0
Austin                ,20123,142680.5
Austin                ,20124,152275.0
Avalon Park           ,20051,115600.0
Avalon Park           ,20052,110033.5
Avalon Park           ,20053,118400.0
Avalon Park           ,20054,102702.0
Avalon Park           ,20061,114468.0
Avalon Park           ,20062,113916.36
Avalon Park           ,20063,120724.0
Avalon Park           ,20064,127950.0
Avalon Park           ,20071,124750.0
Avalon Park           ,20072,138750.0
Avalon Park           ,20073,132000.0
Avalon Park           ,20074,130500.0
Avalon Park           ,20081,146205.0
Avalon Park           ,20082,139702.0
Avalon Park           ,20083,144989.5
Avalon Park           ,20084,196913.5
Avalon Park           ,20091,156812.0
Avalon Park           ,20092,135458.5
Avalon Park           ,20093,160336.88
Avalon Park           ,20094,149874.0
Avalon Park           ,20101,139062.0
Avalon Park           ,20102,127729.5
Avalon Park           ,20103,124336.5
Avalon Park           ,20104,83000.0
Avalon Park           ,20111,139506.5
Avalon Park           ,20112,109659.0
Avalon Park           ,20113,121733.0
Avalon Park           ,20114,116529.5
Avalon Park           ,20121,138070.0
Avalon Park           ,20122,125183.0
Avalon Park           ,20123,114072.0
Avalon Park           ,20124,114460.0
Avondale              ,20051,205100.0
Avondale              ,20052,201500.0
Avondale              ,20053,201356.0
Avondale              ,20054,214450.0
Avondale              ,20061,180000.0
Avondale              ,20062,204800.0
Avondale              ,20063,180000.0
Avondale              ,20064,247600.0
Avondale              ,20071,200000.0
Avondale              ,20072,198500.0
Avondale              ,20073,194935.0
Avondale              ,20074,264000.0
Avondale              ,20081,257400.0
Avondale              ,20082,217000.0
Avondale              ,20083,213625.0
Avondale              ,20084,248978.0
Avondale              ,20091,265345.0
Avondale              ,20092,231550.0
Avondale              ,20093,202202.0
Avondale              ,20094,250045.5
Avondale              ,20101,204550.0
Avondale              ,20102,239400.0
Avondale              ,20103,209150.0
Avondale              ,20104,246678.0
Avondale              ,20111,179359.5
Avondale              ,20112,202161.5
Avondale              ,20113,210205.0
Avondale              ,20114,232674.0
Avondale              ,20121,215250.0
Avondale              ,20122,208085.0
Avondale              ,20123,239000.0
Avondale              ,20124,241200.0
Belmont Cragin        ,20051,195000.0
Belmont Cragin        ,20052,208000.0
Belmont Cragin        ,20053,205000.0
Belmont Cragin        ,20054,201800.0
Belmont Cragin        ,20061,199000.0
Belmont Cragin        ,20062,210000.0
Belmont Cragin        ,20063,206400.0
Belmont Cragin        ,20064,217175.0
Belmont Cragin        ,20071,229800.0
