CA_name,YYYYQ_DOC,YYYYQ_DOC
Avalon Park           ,20083,82
Avalon Park           ,20084,70
Avalon Park           ,20091,64
Avalon Park           ,20092,60
Avalon Park           ,20093,65
Avalon Park           ,20094,50
Avalon Park           ,20101,48
Avalon Park           ,20102,40
Avalon Park           ,20103,40
Avalon Park           ,20104,38
Avalon Park           ,20111,32
Avalon Park           ,20112,26
Avalon Park           ,20113,43
Avalon Park           ,20114,42
Avalon Park           ,20121,30
Avalon Park           ,20122,32
Avalon Park           ,20123,31
Avalon Park           ,20124,53
Avondale              ,20051,181
Avondale              ,20052,194
Avondale              ,20053,238
Avondale              ,20054,188
Avondale              ,20061,175
Avondale              ,20062,211
Avondale              ,20063,173
Avondale              ,20064,191
Avondale              ,20071,145
Avondale              ,20072,191
Avondale              ,20073,130
Avondale              ,20074,127
Avondale              ,20081,128
Avondale              ,20082,95
Avondale              ,20083,70
Avondale              ,20084,46
Avondale              ,20091,78
Avondale              ,20092,102
Avondale              ,20093,73
Avondale              ,20094,56
Avondale              ,20101,60
Avondale              ,20102,59
Avondale              ,20103,68
Avondale              ,20104,87
Avondale              ,20111,48
Avondale              ,20112,56
Avondale              ,20113,64
Avondale              ,20114,66
Avondale              ,20121,74
Avondale              ,20122,89
Avondale              ,20123,73
Avondale              ,20124,90
Belmont Cragin        ,20051,716
Belmont Cragin        ,20052,971
Belmont Cragin        ,20053,919
Belmont Cragin        ,20054,932
Belmont Cragin        ,20061,681
Belmont Cragin        ,20062,773
Belmont Cragin        ,20063,772
Belmont Cragin        ,20064,854
Belmont Cragin        ,20071,632
Belmont Cragin        ,20072,635
Belmont Cragin        ,20073,471
Belmont Cragin        ,20074,388
Belmont Cragin        ,20081,346
Belmont Cragin        ,20082,267
Belmont Cragin        ,20083,178
Belmont Cragin        ,20084,151
Belmont Cragin        ,20091,158
Belmont Cragin        ,20092,203
Belmont Cragin        ,20093,168
Belmont Cragin        ,20094,161
Belmont Cragin        ,20101,128
Belmont Cragin        ,20102,143
Belmont Cragin        ,20103,112
Belmont Cragin        ,20104,148
Belmont Cragin        ,20111,138
Belmont Cragin        ,20112,134
