CA_name,YYYYQ_DOC,YYYYQ_DOC
Humboldt Park         ,20063,375
Humboldt Park         ,20064,400
Humboldt Park         ,20071,270
Humboldt Park         ,20072,272
Humboldt Park         ,20073,243
Humboldt Park         ,20074,180
Humboldt Park         ,20081,165
Humboldt Park         ,20082,133
Humboldt Park         ,20083,82
Humboldt Park         ,20084,69
Humboldt Park         ,20091,67
Humboldt Park         ,20092,75
Humboldt Park         ,20093,74
Humboldt Park         ,20094,63
Humboldt Park         ,20101,49
Humboldt Park         ,20102,49
Humboldt Park         ,20103,42
Humboldt Park         ,20104,50
Humboldt Park         ,20111,38
Humboldt Park         ,20112,31
Humboldt Park         ,20113,39
Humboldt Park         ,20114,45
Humboldt Park         ,20121,30
Humboldt Park         ,20122,55
Humboldt Park         ,20123,59
Humboldt Park         ,20124,51
Hyde Park             ,20051,55
Hyde Park             ,20052,58
Hyde Park             ,20053,71
Hyde Park             ,20054,61
Hyde Park             ,20061,58
Hyde Park             ,20062,63
Hyde Park             ,20063,62
Hyde Park             ,20064,68
Hyde Park             ,20071,52
Hyde Park             ,20072,44
Hyde Park             ,20073,49
Hyde Park             ,20074,30
Hyde Park             ,20081,45
Hyde Park             ,20082,49
Hyde Park             ,20083,24
Hyde Park             ,20084,44
Hyde Park             ,20091,71
Hyde Park             ,20092,69
Hyde Park             ,20093,46
Hyde Park             ,20094,39
Hyde Park             ,20101,39
Hyde Park             ,20102,44
Hyde Park             ,20103,64
Hyde Park             ,20104,83
Hyde Park             ,20111,42
Hyde Park             ,20112,46
Hyde Park             ,20113,55
Hyde Park             ,20114,85
Hyde Park             ,20121,57
Hyde Park             ,20122,58
Hyde Park             ,20123,76
Hyde Park             ,20124,56
Irving Park           ,20051,398
Irving Park           ,20052,511
Irving Park           ,20053,604
Irving Park           ,20054,477
Irving Park           ,20061,401
Irving Park           ,20062,444
Irving Park           ,20063,430
Irving Park           ,20064,399
Irving Park           ,20071,423
Irving Park           ,20072,374
Irving Park           ,20073,302
Irving Park           ,20074,266
Irving Park           ,20081,289
Irving Park           ,20082,256
Irving Park           ,20083,151
Irving Park           ,20084,129
Irving Park           ,20091,274
Irving Park           ,20092,267
Irving Park           ,20093,155
Irving Park           ,20094,162
Irving Park           ,20101,136
Irving Park           ,20102,141
Irving Park           ,20103,226
Irving Park           ,20104,264
Irving Park           ,20111,153
Irving Park           ,20112,147
Irving Park           ,20113,169
Irving Park           ,20114,230
Irving Park           ,20121,180
Irving Park           ,20122,196
Irving Park           ,20123,220
Irving Park           ,20124,245
Jefferson Park        ,20051,298
Jefferson Park        ,20052,391
Jefferson Park        ,20053,428
Jefferson Park        ,20054,390
Jefferson Park        ,20061,326
Jefferson Park        ,20062,353
Jefferson Park        ,20063,337
Jefferson Park        ,20064,322
Jefferson Park        ,20071,280
Jefferson Park        ,20072,315
Jefferson Park        ,20073,272
Jefferson Park        ,20074,254
Jefferson Park        ,20081,210
Jefferson Park        ,20082,192
Jefferson Park        ,20083,127
Jefferson Park        ,20084,117
Jefferson Park        ,20091,186
Jefferson Park        ,20092,235
Jefferson Park        ,20093,164
Jefferson Park        ,20094,119
Jefferson Park        ,20101,114
Jefferson Park        ,20102,138
Jefferson Park        ,20103,160
Jefferson Park        ,20104,173
Jefferson Park        ,20111,127
Jefferson Park        ,20112,95
Jefferson Park        ,20113,143
Jefferson Park        ,20114,171
Jefferson Park        ,20121,144
Jefferson Park        ,20122,156
Jefferson Park        ,20123,211
Jefferson Park        ,20124,189
Kenwood               ,20051,80
Kenwood               ,20052,95
Kenwood               ,20053,102
Kenwood               ,20054,103
Kenwood               ,20061,74
Kenwood               ,20062,84
Kenwood               ,20063,82
Kenwood               ,20064,73
Kenwood               ,20071,76
Kenwood               ,20072,79
Kenwood               ,20073,61
Kenwood               ,20074,46
Kenwood               ,20081,49
Kenwood               ,20082,59
Kenwood               ,20083,34
Kenwood               ,20084,23
Kenwood               ,20091,66
Kenwood               ,20092,42
Kenwood               ,20093,48
Kenwood               ,20094,42
Kenwood               ,20101,35
Kenwood               ,20102,32
Kenwood               ,20103,39
Kenwood               ,20104,53
Kenwood               ,20111,38
Kenwood               ,20112,25
Kenwood               ,20113,40
Kenwood               ,20114,52
Kenwood               ,20121,37
Kenwood               ,20122,36
Kenwood               ,20123,47
Kenwood               ,20124,42
Lakeview              ,20051,291
Lakeview              ,20052,323
Lakeview              ,20053,327
Lakeview              ,20054,212
Lakeview              ,20061,221
Lakeview              ,20062,273
Lakeview              ,20063,213
Lakeview              ,20064,202
Lakeview              ,20071,197
Lakeview              ,20072,249
Lakeview              ,20073,202
Lakeview              ,20074,144
Lakeview              ,20081,223
Lakeview              ,20082,221
Lakeview              ,20083,126
Lakeview              ,20084,105
Lakeview              ,20091,275
Lakeview              ,20092,243
Lakeview              ,20093,175
Lakeview              ,20094,163
Lakeview              ,20101,135
Lakeview              ,20102,190
Lakeview              ,20103,282
Lakeview              ,20104,281
Lakeview              ,20111,168
Lakeview              ,20112,151
Lakeview              ,20113,218
Lakeview              ,20114,271
Lakeview              ,20121,220
Lakeview              ,20122,235
Lakeview              ,20123,296
Lakeview              ,20124,295
Lincoln Park          ,20051,270
Lincoln Park          ,20052,367
Lincoln Park          ,20053,331
Lincoln Park          ,20054,278
Lincoln Park          ,20061,278
Lincoln Park          ,20062,318
Lincoln Park          ,20063,305
Lincoln Park          ,20064,282
Lincoln Park          ,20071,287
Lincoln Park          ,20072,289
Lincoln Park          ,20073,259
Lincoln Park          ,20074,201
Lincoln Park          ,20081,364
Lincoln Park          ,20082,270
Lincoln Park          ,20083,211
Lincoln Park          ,20084,140
Lincoln Park          ,20091,271
Lincoln Park          ,20092,353
Lincoln Park          ,20093,232
Lincoln Park          ,20094,247
Lincoln Park          ,20101,212
Lincoln Park          ,20102,197
Lincoln Park          ,20103,279
Lincoln Park          ,20104,353
Lincoln Park          ,20111,200
Lincoln Park          ,20112,186
Lincoln Park          ,20113,248
Lincoln Park          ,20114,322
Lincoln Park          ,20121,211
Lincoln Park          ,20122,262
Lincoln Park          ,20123,328
Lincoln Park          ,20124,293
Lincoln Square        ,20051,171
Lincoln Square        ,20052,188
Lincoln Square        ,20053,200
Lincoln Square        ,20054,166
Lincoln Square        ,20061,178
Lincoln Square        ,20062,167
Lincoln Square        ,20063,160
Lincoln Square        ,20064,164
Lincoln Square        ,20071,149
Lincoln Square        ,20072,177
Lincoln Square        ,20073,157
Lincoln Square        ,20074,109
Lincoln Square        ,20081,167
Lincoln Square        ,20082,145
Lincoln Square        ,20083,111
Lincoln Square        ,20084,84
Lincoln Square        ,20091,151
Lincoln Square        ,20092,205
Lincoln Square        ,20093,122
Lincoln Square        ,20094,115
Lincoln Square        ,20101,83
Lincoln Square        ,20102,103
Lincoln Square        ,20103,138
Lincoln Square        ,20104,167
Lincoln Square        ,20111,91
Lincoln Square        ,20112,80
Lincoln Square        ,20113,117
Lincoln Square        ,20114,148
Lincoln Square        ,20121,140
Lincoln Square        ,20122,121
Lincoln Square        ,20123,171
Lincoln Square        ,20124,150
Logan Square          ,20051,333
Logan Square          ,20052,443
Logan Square          ,20053,444
Logan Square          ,20054,395
Logan Square          ,20061,331
Logan Square          ,20062,393
Logan Square          ,20063,349
Logan Square          ,20064,360
Logan Square          ,20071,312
Logan Square          ,20072,336
Logan Square          ,20073,224
Logan Square          ,20074,235
Logan Square          ,20081,304
Logan Square          ,20082,246
Logan Square          ,20083,174
Logan Square          ,20084,114
Logan Square          ,20091,237
Logan Square          ,20092,224
Logan Square          ,20093,158
Logan Square          ,20094,155
Logan Square          ,20101,137
Logan Square          ,20102,136
Logan Square          ,20103,193
Logan Square          ,20104,212
Logan Square          ,20111,145
Logan Square          ,20112,125
Logan Square          ,20113,185
Logan Square          ,20114,212
Logan Square          ,20121,162
Logan Square          ,20122,214
Logan Square          ,20123,227
Logan Square          ,20124,241
Loop                  ,20051,4
Loop                  ,20053,2
Loop                  ,20054,4
Loop                  ,20061,2
Loop                  ,20062,4
Loop                  ,20071,2
Loop                  ,20073,2
Loop                  ,20074,2
Loop                  ,20081,2
Loop                  ,20083,1
Loop                  ,20091,7
Loop                  ,20092,1
Loop                  ,20094,1
Loop                  ,20101,9
Loop                  ,20102,22
Loop                  ,20103,16
Loop                  ,20104,6
Loop                  ,20111,2
Loop                  ,20112,5
Loop                  ,20113,4
Loop                  ,20114,1
Loop                  ,20122,4
Loop                  ,20124,4
Lower West Side       ,20051,62
Lower West Side       ,20052,62
Lower West Side       ,20053,86
Lower West Side       ,20054,55
Lower West Side       ,20061,52
Lower West Side       ,20062,64
Lower West Side       ,20063,69
Lower West Side       ,20064,76
Lower West Side       ,20071,59
Lower West Side       ,20072,51
Lower West Side       ,20073,45
Lower West Side       ,20074,28
Lower West Side       ,20081,37
Lower West Side       ,20082,30
Lower West Side       ,20083,19
Lower West Side       ,20084,22
Lower West Side       ,20091,15
Lower West Side       ,20092,21
Lower West Side       ,20093,12
Lower West Side       ,20094,23
Lower West Side       ,20101,10
Lower West Side       ,20102,21
Lower West Side       ,20103,9
Lower West Side       ,20104,14
Lower West Side       ,20111,14
Lower West Side       ,20112,8
Lower West Side       ,20113,10
Lower West Side       ,20114,7
Lower West Side       ,20121,14
Lower West Side       ,20122,21
Lower West Side       ,20123,15
Lower West Side       ,20124,17
McKinley Park         ,20051,130
McKinley Park         ,20052,151
McKinley Park         ,20053,124
McKinley Park         ,20054,131
McKinley Park         ,20061,107
McKinley Park         ,20062,103
McKinley Park         ,20063,114
McKinley Park         ,20064,95
McKinley Park         ,20071,86
McKinley Park         ,20072,101
McKinley Park         ,20073,79
McKinley Park         ,20074,66
McKinley Park         ,20081,80
McKinley Park         ,20082,70
McKinley Park         ,20083,42
McKinley Park         ,20084,33
McKinley Park         ,20091,46
McKinley Park         ,20092,50
McKinley Park         ,20093,41
McKinley Park         ,20094,46
McKinley Park         ,20101,32
McKinley Park         ,20102,48
McKinley Park         ,20103,42
McKinley Park         ,20104,59
McKinley Park         ,20111,34
McKinley Park         ,20112,27
McKinley Park         ,20113,34
McKinley Park         ,20114,40
McKinley Park         ,20121,24
McKinley Park         ,20122,45
McKinley Park         ,20123,43
McKinley Park         ,20124,41
Montclare             ,20051,187
Montclare             ,20052,232
Montclare             ,20053,237
Montclare             ,20054,210
Montclare             ,20061,189
Montclare             ,20062,219
Montclare             ,20063,206
Montclare             ,20064,199
Montclare             ,20071,160
Montclare             ,20072,180
Montclare             ,20073,124
Montclare             ,20074,109
Montclare             ,20081,94
Montclare             ,20082,88
Montclare             ,20083,40
Montclare             ,20084,44
Montclare             ,20091,56
Montclare             ,20092,75
Montclare             ,20093,59
Montclare             ,20094,58
Montclare             ,20101,50
Montclare             ,20102,52
Montclare             ,20103,46
Montclare             ,20104,56
Montclare             ,20111,36
Montclare             ,20112,51
Montclare             ,20113,45
Montclare             ,20114,37
Montclare             ,20121,61
Montclare             ,20122,51
Montclare             ,20123,56
Montclare             ,20124,72
Morgan Park           ,20051,428
Morgan Park           ,20052,522
Morgan Park           ,20053,555
Morgan Park           ,20054,516
Morgan Park           ,20061,406
Morgan Park           ,20062,486
Morgan Park           ,20063,482
Morgan Park           ,20064,394
Morgan Park           ,20071,386
Morgan Park           ,20072,461
Morgan Park           ,20073,336
Morgan Park           ,20074,314
Morgan Park           ,20081,275
Morgan Park           ,20082,261
Morgan Park           ,20083,209
Morgan Park           ,20084,181
Morgan Park           ,20091,225
Morgan Park           ,20092,234
Morgan Park           ,20093,177
Morgan Park           ,20094,177
Morgan Park           ,20101,147
Morgan Park           ,20102,141
Morgan Park           ,20103,191
Morgan Park           ,20104,166
Morgan Park           ,20111,128
Morgan Park           ,20112,106
Morgan Park           ,20113,139
Morgan Park           ,20114,146
Morgan Park           ,20121,148
Morgan Park           ,20122,132
Morgan Park           ,20123,160
Morgan Park           ,20124,135
Mount Greenwood       ,20051,370
Mount Greenwood       ,20052,412
Mount Greenwood       ,20053,485
Mount Greenwood       ,20054,401
Mount Greenwood       ,20061,386
Mount Greenwood       ,20062,439
Mount Greenwood       ,20063,442
Mount Greenwood       ,20064,394
Mount Greenwood       ,20071,343
Mount Greenwood       ,20072,383
Mount Greenwood       ,20073,348
Mount Greenwood       ,20074,294
Mount Greenwood       ,20081,350
Mount Greenwood       ,20082,299
Mount Greenwood       ,20083,200
Mount Greenwood       ,20084,155
Mount Greenwood       ,20091,285
Mount Greenwood       ,20092,378
Mount Greenwood       ,20093,214
Mount Greenwood       ,20094,223
Mount Greenwood       ,20101,183
Mount Greenwood       ,20102,196
Mount Greenwood       ,20103,275
Mount Greenwood       ,20104,298
Mount Greenwood       ,20111,195
Mount Greenwood       ,20112,133
Mount Greenwood       ,20113,203
Mount Greenwood       ,20114,259
Mount Greenwood       ,20121,232
Mount Greenwood       ,20122,225
Mount Greenwood       ,20123,245
Mount Greenwood       ,20124,236
Near North Side       ,20051,68
Near North Side       ,20052,101
Near North Side       ,20053,99
Near North Side       ,20054,69
Near North Side       ,20061,58
Near North Side       ,20062,83
Near North Side       ,20063,72
Near North Side       ,20064,83
Near North Side       ,20071,83
Near North Side       ,20072,99
Near North Side       ,20073,69
Near North Side       ,20074,47
Near North Side       ,20081,102
Near North Side       ,20082,65
Near North Side       ,20083,60
Near North Side       ,20084,46
Near North Side       ,20091,78
Near North Side       ,20092,99
Near North Side       ,20093,72
Near North Side       ,20094,70
Near North Side       ,20101,42
Near North Side       ,20102,52
Near North Side       ,20103,73
Near North Side       ,20104,61
Near North Side       ,20111,61
Near North Side       ,20112,45
Near North Side       ,20113,61
Near North Side       ,20114,81
Near North Side       ,20121,49
Near North Side       ,20122,70
Near North Side       ,20123,66
Near North Side       ,20124,80
Near South Side       ,20051,87
Near South Side       ,20052,135
Near South Side       ,20053,137
Near South Side       ,20054,98
Near South Side       ,20061,62
Near South Side       ,20062,69
Near South Side       ,20063,68
Near South Side       ,20064,86
Near South Side       ,20071,73
Near South Side       ,20072,98
Near South Side       ,20073,76
Near South Side       ,20074,59
Near South Side       ,20081,112
Near South Side       ,20082,60
Near South Side       ,20083,48
Near South Side       ,20084,38
Near South Side       ,20091,85
Near South Side       ,20092,92
Near South Side       ,20093,58
Near South Side       ,20094,71
Near South Side       ,20101,44
Near South Side       ,20102,61
Near South Side       ,20103,92
Near South Side       ,20104,105
Near South Side       ,20111,49
Near South Side       ,20112,43
Near South Side       ,20113,62
Near South Side       ,20114,84
Near South Side       ,20121,68
Near South Side       ,20122,44
Near South Side       ,20123,72
Near South Side       ,20124,83
Near West Side        ,20051,110
Near West Side        ,20052,148
Near West Side        ,20053,157
Near West Side        ,20054,142
Near West Side        ,20061,114
Near West Side        ,20062,162
Near West Side        ,20063,198
Near West Side        ,20064,186
Near West Side        ,20071,179
Near West Side        ,20072,168
Near West Side        ,20073,139
Near West Side        ,20074,118
Near West Side        ,20081,162
Near West Side        ,20082,133
Near West Side        ,20083,100
Near West Side        ,20084,82
Near West Side        ,20091,129
Near West Side        ,20092,125
Near West Side        ,20093,64
Near West Side        ,20094,87
Near West Side        ,20101,49
Near West Side        ,20102,76
Near West Side        ,20103,121
Near West Side        ,20104,115
Near West Side        ,20111,88
Near West Side        ,20112,58
Near West Side        ,20113,105
Near West Side        ,20114,92
Near West Side        ,20121,79
Near West Side        ,20122,76
Near West Side        ,20123,117
Near West Side        ,20124,105
New City              ,20051,224
New City              ,20052,285
New City              ,20053,274
New City              ,20054,290
New City              ,20061,262
New City              ,20062,300
New City              ,20063,272
New City              ,20064,249
New City              ,20071,198
New City              ,20072,184
New City              ,20073,154
New City              ,20074,147
New City              ,20081,126
New City              ,20082,121
New City              ,20083,76
New City              ,20084,60
New City              ,20091,67
New City              ,20092,87
New City              ,20093,47
New City              ,20094,54
New City              ,20101,34
New City              ,20102,34
New City              ,20103,37
New City              ,20104,48
New City              ,20111,26
New City              ,20112,30
New City              ,20113,40
New City              ,20114,32
New City              ,20121,35
New City              ,20122,34
New City              ,20123,62
New City              ,20124,46
North Center          ,20051,252
North Center          ,20052,328
North Center          ,20053,356
North Center          ,20054,264
North Center          ,20061,228
North Center          ,20062,286
North Center          ,20063,268
North Center          ,20064,238
North Center          ,20071,233
North Center          ,20072,273
North Center          ,20073,209
North Center          ,20074,173
North Center          ,20081,278
North Center          ,20082,242
North Center          ,20083,192
North Center          ,20084,114
North Center          ,20091,284
North Center          ,20092,280
North Center          ,20093,187
North Center          ,20094,194
North Center          ,20101,141
North Center          ,20102,181
North Center          ,20103,307
North Center          ,20104,328
North Center          ,20111,170
North Center          ,20112,146
North Center          ,20113,237
North Center          ,20114,297
North Center          ,20121,225
North Center          ,20122,244
North Center          ,20123,311
North Center          ,20124,283
North Cook            ,20051,6618
North Cook            ,20052,8583
North Cook            ,20053,8636
North Cook            ,20054,7255
North Cook            ,20061,6430
North Cook            ,20062,7345
North Cook            ,20063,6695
North Cook            ,20064,6762
North Cook            ,20071,6310
North Cook            ,20072,6605
North Cook            ,20073,5313
North Cook            ,20074,4670
North Cook            ,20081,5629
North Cook            ,20082,5110
North Cook            ,20083,3194
North Cook            ,20084,2895
North Cook            ,20091,5175
North Cook            ,20092,6162
North Cook            ,20093,4146
North Cook            ,20094,4083
North Cook            ,20101,3283
North Cook            ,20102,3606
North Cook            ,20103,5257
North Cook            ,20104,6201
North Cook            ,20111,3436
North Cook            ,20112,3144
North Cook            ,20113,4277
North Cook            ,20114,5548
North Cook            ,20121,4664
North Cook            ,20122,4695
North Cook            ,20123,5853
North Cook            ,20124,5753
North Lawndale        ,20051,185
North Lawndale        ,20052,177
North Lawndale        ,20053,188
North Lawndale        ,20054,200
North Lawndale        ,20061,175
North Lawndale        ,20062,156
North Lawndale        ,20063,157
North Lawndale        ,20064,123
North Lawndale        ,20071,147
North Lawndale        ,20072,108
North Lawndale        ,20073,100
North Lawndale        ,20074,87
North Lawndale        ,20081,65
North Lawndale        ,20082,47
North Lawndale        ,20083,54
North Lawndale        ,20084,39
North Lawndale        ,20091,16
North Lawndale        ,20092,33
North Lawndale        ,20093,30
North Lawndale        ,20094,20
North Lawndale        ,20101,10
North Lawndale        ,20102,2
North Lawndale        ,20103,6
North Lawndale        ,20104,13
North Lawndale        ,20111,17
North Lawndale        ,20112,6
North Lawndale        ,20113,19
North Lawndale        ,20114,6
North Lawndale        ,20121,9
North Lawndale        ,20122,8
North Lawndale        ,20123,6
North Lawndale        ,20124,11
North Park            ,20051,140
North Park            ,20052,187
North Park            ,20053,203
North Park            ,20054,162
North Park            ,20061,143
North Park            ,20062,192
North Park            ,20063,167
North Park            ,20064,149
North Park            ,20071,135
North Park            ,20072,137
North Park            ,20073,123
North Park            ,20074,108
North Park            ,20081,129
North Park            ,20082,119
North Park            ,20083,47
North Park            ,20084,48
North Park            ,20091,103
North Park            ,20092,98
North Park            ,20093,86
North Park            ,20094,71
North Park            ,20101,71
North Park            ,20102,65
North Park            ,20103,85
North Park            ,20104,117
North Park            ,20111,86
North Park            ,20112,71
North Park            ,20113,77
North Park            ,20114,96
North Park            ,20121,86
North Park            ,20122,89
North Park            ,20123,106
North Park            ,20124,114
Northwest Cook        ,20051,9555
Northwest Cook        ,20052,12626
Northwest Cook        ,20053,12890
Northwest Cook        ,20054,10843
Northwest Cook        ,20061,9261
Northwest Cook        ,20062,10761
Northwest Cook        ,20063,10291
Northwest Cook        ,20064,9703
Northwest Cook        ,20071,8679
Northwest Cook        ,20072,9278
Northwest Cook        ,20073,7423
Northwest Cook        ,20074,6634
Northwest Cook        ,20081,7828
Northwest Cook        ,20082,6585
Northwest Cook        ,20083,4029
Northwest Cook        ,20084,3504
Northwest Cook        ,20091,6615
Northwest Cook        ,20092,7850
Northwest Cook        ,20093,5170
Northwest Cook        ,20094,5317
Northwest Cook        ,20101,4240
Northwest Cook        ,20102,4545
Northwest Cook        ,20103,6264
Northwest Cook        ,20104,7396
Northwest Cook        ,20111,4273
Northwest Cook        ,20112,3639
Northwest Cook        ,20113,4653
Northwest Cook        ,20114,5837
Northwest Cook        ,20121,5119
Northwest Cook        ,20122,5343
Northwest Cook        ,20123,6434
Northwest Cook        ,20124,6468
Norwood Park          ,20051,611
Norwood Park          ,20052,813
Norwood Park          ,20053,833
Norwood Park          ,20054,706
Norwood Park          ,20061,683
Norwood Park          ,20062,660
Norwood Park          ,20063,685
Norwood Park          ,20064,629
Norwood Park          ,20071,561
Norwood Park          ,20072,648
Norwood Park          ,20073,477
Norwood Park          ,20074,462
Norwood Park          ,20081,537
Norwood Park          ,20082,454
Norwood Park          ,20083,219
Norwood Park          ,20084,256
Norwood Park          ,20091,497
Norwood Park          ,20092,569
Norwood Park          ,20093,362
Norwood Park          ,20094,375
Norwood Park          ,20101,288
Norwood Park          ,20102,317
Norwood Park          ,20103,434
Norwood Park          ,20104,485
Norwood Park          ,20111,281
Norwood Park          ,20112,274
Norwood Park          ,20113,339
Norwood Park          ,20114,420
Norwood Park          ,20121,352
Norwood Park          ,20122,367
Norwood Park          ,20123,439
Norwood Park          ,20124,491
O'Hare                ,20051,27
O'Hare                ,20052,40
O'Hare                ,20053,37
O'Hare                ,20054,35
O'Hare                ,20061,28
O'Hare                ,20062,30
O'Hare                ,20063,31
O'Hare                ,20064,29
O'Hare                ,20071,28
O'Hare                ,20072,23
O'Hare                ,20073,24
O'Hare                ,20074,15
O'Hare                ,20081,28
O'Hare                ,20082,19
O'Hare                ,20083,8
O'Hare                ,20084,20
O'Hare                ,20091,17
O'Hare                ,20092,30
O'Hare                ,20093,14
O'Hare                ,20094,21
O'Hare                ,20101,15
O'Hare                ,20102,12
O'Hare                ,20103,19
O'Hare                ,20104,26
O'Hare                ,20111,13
O'Hare                ,20112,12
O'Hare                ,20113,19
O'Hare                ,20114,15
O'Hare                ,20121,18
O'Hare                ,20122,13
O'Hare                ,20123,25
O'Hare                ,20124,26
Oakland               ,20051,16
Oakland               ,20052,29
Oakland               ,20053,47
Oakland               ,20054,41
Oakland               ,20061,17
Oakland               ,20062,24
Oakland               ,20063,41
Oakland               ,20064,41
Oakland               ,20071,32
Oakland               ,20072,30
Oakland               ,20073,30
Oakland               ,20074,25
Oakland               ,20081,14
Oakland               ,20082,15
Oakland               ,20083,9
Oakland               ,20084,5
Oakland               ,20091,19
Oakland               ,20092,13
Oakland               ,20093,9
Oakland               ,20094,8
Oakland               ,20101,7
Oakland               ,20102,10
Oakland               ,20103,11
Oakland               ,20104,11
Oakland               ,20111,10
Oakland               ,20112,9
Oakland               ,20113,11
Oakland               ,20114,7
Oakland               ,20121,9
Oakland               ,20122,5
Oakland               ,20123,8
Oakland               ,20124,9
Portage Park          ,20051,696
Portage Park          ,20052,897
Portage Park          ,20053,893
Portage Park          ,20054,886
Portage Park          ,20061,696
Portage Park          ,20062,810
Portage Park          ,20063,731
Portage Park          ,20064,725
Portage Park          ,20071,647
Portage Park          ,20072,623
Portage Park          ,20073,523
Portage Park          ,20074,433
Portage Park          ,20081,443
Portage Park          ,20082,407
Portage Park          ,20083,203
Portage Park          ,20084,235
Portage Park          ,20091,283
Portage Park          ,20092,368
Portage Park          ,20093,262
Portage Park          ,20094,271
Portage Park          ,20101,226
Portage Park          ,20102,245
Portage Park          ,20103,264
Portage Park          ,20104,279
Portage Park          ,20111,210
Portage Park          ,20112,201
Portage Park          ,20113,215
Portage Park          ,20114,262
Portage Park          ,20121,244
Portage Park          ,20122,266
Portage Park          ,20123,322
Portage Park          ,20124,364
Pullman               ,20051,96
Pullman               ,20052,124
Pullman               ,20053,141
Pullman               ,20054,117
Pullman               ,20061,101
Pullman               ,20062,114
Pullman               ,20063,103
Pullman               ,20064,77
Pullman               ,20071,105
Pullman               ,20072,106
Pullman               ,20073,68
Pullman               ,20074,77
Pullman               ,20081,42
Pullman               ,20082,53
Pullman               ,20083,24
Pullman               ,20084,26
Pullman               ,20091,38
Pullman               ,20092,30
Pullman               ,20093,22
Pullman               ,20094,29
Pullman               ,20101,19
Pullman               ,20102,20
Pullman               ,20103,18
Pullman               ,20104,21
Pullman               ,20111,13
Pullman               ,20112,17
Pullman               ,20113,13
Pullman               ,20114,14
Pullman               ,20121,13
Pullman               ,20122,19
Pullman               ,20123,30
Pullman               ,20124,19
Riverdale             ,20051,19
Riverdale             ,20052,32
Riverdale             ,20053,26
Riverdale             ,20054,18
Riverdale             ,20061,21
Riverdale             ,20062,27
Riverdale             ,20063,25
Riverdale             ,20064,32
Riverdale             ,20071,24
Riverdale             ,20072,17
Riverdale             ,20073,22
Riverdale             ,20074,19
Riverdale             ,20081,4
Riverdale             ,20082,5
Riverdale             ,20083,11
Riverdale             ,20084,1
Riverdale             ,20091,4
Riverdale             ,20092,3
Riverdale             ,20093,5
Riverdale             ,20094,2
Riverdale             ,20101,4
Riverdale             ,20102,4
Riverdale             ,20112,2
Riverdale             ,20113,1
Riverdale             ,20121,1
Riverdale             ,20123,1
Riverdale             ,20124,2
Rogers Park           ,20051,114
Rogers Park           ,20052,138
Rogers Park           ,20053,138
Rogers Park           ,20054,128
Rogers Park           ,20061,104
Rogers Park           ,20062,91
Rogers Park           ,20063,116
Rogers Park           ,20064,86
Rogers Park           ,20071,68
Rogers Park           ,20072,102
Rogers Park           ,20073,59
Rogers Park           ,20074,58
Rogers Park           ,20081,62
Rogers Park           ,20082,59
Rogers Park           ,20083,34
Rogers Park           ,20084,43
Rogers Park           ,20091,96
Rogers Park           ,20092,69
Rogers Park           ,20093,45
Rogers Park           ,20094,51
Rogers Park           ,20101,42
Rogers Park           ,20102,43
Rogers Park           ,20103,50
Rogers Park           ,20104,67
Rogers Park           ,20111,49
Rogers Park           ,20112,39
Rogers Park           ,20113,45
Rogers Park           ,20114,47
Rogers Park           ,20121,47
Rogers Park           ,20122,37
Rogers Park           ,20123,50
Rogers Park           ,20124,61
Roseland              ,20051,694
Roseland              ,20052,861
Roseland              ,20053,859
Roseland              ,20054,789
Roseland              ,20061,743
Roseland              ,20062,731
Roseland              ,20063,787
Roseland              ,20064,603
Roseland              ,20071,558
Roseland              ,20072,635
Roseland              ,20073,521
Roseland              ,20074,421
Roseland              ,20081,366
Roseland              ,20082,391
Roseland              ,20083,263
Roseland              ,20084,212
Roseland              ,20091,216
Roseland              ,20092,226
Roseland              ,20093,160
Roseland              ,20094,169
Roseland              ,20101,111
Roseland              ,20102,112
Roseland              ,20103,115
Roseland              ,20104,118
Roseland              ,20111,123
Roseland              ,20112,108
Roseland              ,20113,119
Roseland              ,20114,117
Roseland              ,20121,89
Roseland              ,20122,115
Roseland              ,20123,133
Roseland              ,20124,121
South Chicago         ,20051,280
South Chicago         ,20052,310
South Chicago         ,20053,284
South Chicago         ,20054,289
South Chicago         ,20061,274
South Chicago         ,20062,309
South Chicago         ,20063,305
South Chicago         ,20064,286
South Chicago         ,20071,229
South Chicago         ,20072,204
South Chicago         ,20073,200
South Chicago         ,20074,154
South Chicago         ,20081,122
South Chicago         ,20082,97
South Chicago         ,20083,91
South Chicago         ,20084,96
South Chicago         ,20091,80
South Chicago         ,20092,72
South Chicago         ,20093,61
South Chicago         ,20094,73
South Chicago         ,20101,43
South Chicago         ,20102,55
South Chicago         ,20103,37
South Chicago         ,20104,64
South Chicago         ,20111,37
South Chicago         ,20112,25
South Chicago         ,20113,62
South Chicago         ,20114,33
South Chicago         ,20121,24
South Chicago         ,20122,37
South Chicago         ,20123,40
South Chicago         ,20124,35
South Cook            ,20051,7123
South Cook            ,20052,8402
South Cook            ,20053,9040
South Cook            ,20054,8580
South Cook            ,20061,7132
South Cook            ,20062,8401
South Cook            ,20063,8215
South Cook            ,20064,7826
South Cook            ,20071,6143
South Cook            ,20072,6351
South Cook            ,20073,5096
South Cook            ,20074,4817
South Cook            ,20081,3979
South Cook            ,20082,3722
South Cook            ,20083,2589
South Cook            ,20084,2110
