CA_name,PTYPE2011,bldg_assmt_11_psf
Chatham                                 ,VACANT LAND,
Chicago Lawn                            ,2-6 UNIT,6.888356162516898
Chicago Lawn                            ,7+ UNIT,inf
Chicago Lawn                            ,COMM/IND,inf
Chicago Lawn                            ,CONDO,inf
Chicago Lawn                            ,SINGLE FAMILY,9.544374066689713
Chicago Lawn                            ,TOWN HOUSE,5.663202247191011
Chicago Lawn                            ,VACANT LAND,
Clearing                                ,2-6 UNIT,10.146518459268249
Clearing                                ,7+ UNIT,inf
Clearing                                ,COMM/IND,inf
Clearing                                ,CONDO,inf
Clearing                                ,NON PROFIT,inf
Clearing                                ,SINGLE FAMILY,17.4453281507866
Clearing                                ,TOWN HOUSE,13.982735274204469
Clearing                                ,VACANT LAND,
Douglas                                 ,2-6 UNIT,8.880434782608695
Douglas                                 ,7+ UNIT,inf
Douglas                                 ,COMM/IND,inf
Douglas                                 ,CONDO,inf
Douglas                                 ,SINGLE FAMILY,9.819757023794601
Douglas                                 ,TOWN HOUSE,13.517714285714286
Douglas                                 ,VACANT LAND,inf
Dunning                                 ,2-6 UNIT,12.763374485596708
Dunning                                 ,7+ UNIT,inf
Dunning                                 ,COMM/IND,inf
Dunning                                 ,CONDO,inf
Dunning                                 ,NON PROFIT,inf
Dunning                                 ,SINGLE FAMILY,18.549407114624508
Dunning                                 ,TOWN HOUSE,15.567235494880546
Dunning                                 ,VACANT LAND,13.629340027328974
East Garfield                           ,2-6 UNIT,6.577646908297581
East Garfield                           ,7+ UNIT,inf
East Garfield                           ,COMM/IND,inf
East Garfield                           ,CONDO,inf
East Garfield                           ,SINGLE FAMILY,8.49316037735849
East Garfield                           ,TOWN HOUSE,13.11626984126984
East Garfield                           ,VACANT LAND,inf
East Side                               ,2-6 UNIT,5.419562208624709
East Side                               ,7+ UNIT,inf
East Side                               ,COMM/IND,inf
East Side                               ,SINGLE FAMILY,10.552722558340536
East Side                               ,TOWN HOUSE,8.04408989601268
East Side                               ,VACANT LAND,inf
Edgewater                               ,2-6 UNIT,11.657575506510103
Edgewater                               ,7+ UNIT,inf
Edgewater                               ,COMM/IND,inf
Edgewater                               ,CONDO,inf
Edgewater                               ,NON PROFIT,inf
Edgewater                               ,SINGLE FAMILY,19.57365730866048
Edgewater                               ,TOWN HOUSE,11.77741935483871
Edgewater                               ,VACANT LAND,
Edison Park                             ,2-6 UNIT,11.942774005819592
Edison Park                             ,7+ UNIT,inf
Edison Park                             ,COMM/IND,inf
Edison Park                             ,CONDO,inf
Edison Park                             ,SINGLE FAMILY,20.099868015838098
Edison Park                             ,TOWN HOUSE,20.29513888888889
Edison Park                             ,VACANT LAND,
Englewood                               ,2-6 UNIT,5.533556224991251
Englewood                               ,7+ UNIT,inf
Englewood                               ,COMM/IND,inf
Englewood                               ,CONDO,inf
Englewood                               ,SINGLE FAMILY,7.154696132596685
Englewood                               ,TOWN HOUSE,4.001680672268908
Englewood                               ,VACANT LAND,
Forest Glen                             ,2-6 UNIT,14.259333333333334
Forest Glen                             ,7+ UNIT,inf
Forest Glen                             ,COMM/IND,inf
Forest Glen                             ,CONDO,inf
Forest Glen                             ,NON PROFIT,inf
Forest Glen                             ,SINGLE FAMILY,22.219036115270246
Forest Glen                             ,TOWN HOUSE,17.300411522633745
Forest Glen                             ,VACANT LAND,
Fuller Park                             ,2-6 UNIT,5.586956521739131
Fuller Park                             ,7+ UNIT,2.798463356973995
Fuller Park                             ,COMM/IND,inf
Fuller Park                             ,CONDO,inf
Fuller Park                             ,SINGLE FAMILY,7.359704641350211
Fuller Park                             ,TOWN HOUSE,6.478165938864628
Fuller Park                             ,VACANT LAND,
Gage Park                               ,2-6 UNIT,8.369170984455959
Gage Park                               ,7+ UNIT,inf
Gage Park                               ,COMM/IND,inf
Gage Park                               ,CONDO,inf
Gage Park                               ,NON PROFIT,inf
Gage Park                               ,SINGLE FAMILY,11.101621621621621
Gage Park                               ,TOWN HOUSE,11.322569198012776
Gage Park                               ,VACANT LAND,
Garfield Ridge                          ,2-6 UNIT,10.188304721030043
Garfield Ridge                          ,7+ UNIT,inf
Garfield Ridge                          ,COMM/IND,inf
Garfield Ridge                          ,CONDO,inf
Garfield Ridge                          ,NON PROFIT,inf
Garfield Ridge                          ,SINGLE FAMILY,15.63105815749473
Garfield Ridge                          ,TOWN HOUSE,13.449419568822554
Garfield Ridge                          ,VACANT LAND,
Grand Boulevard                         ,2-6 UNIT,5.2058973753921
Grand Boulevard                         ,7+ UNIT,inf
Grand Boulevard                         ,COMM/IND,inf
Grand Boulevard                         ,CONDO,inf
Grand Boulevard                         ,SINGLE FAMILY,8.119635811878522
Grand Boulevard                         ,TOWN HOUSE,6.580237154150198
Grand Boulevard                         ,VACANT LAND,6.447002211372888
Greater Grand Crossing                  ,2-6 UNIT,5.811411149825784
Greater Grand Crossing                  ,7+ UNIT,inf
Greater Grand Crossing                  ,COMM/IND,inf
Greater Grand Crossing                  ,CONDO,inf
Greater Grand Crossing                  ,NON PROFIT,inf
Greater Grand Crossing                  ,SINGLE FAMILY,7.245583038869258
Greater Grand Crossing                  ,TOWN HOUSE,8.282242063492063
Greater Grand Crossing                  ,VACANT LAND,inf
Hegewisch                               ,2-6 UNIT,5.703389830508475
Hegewisch                               ,7+ UNIT,inf
Hegewisch                               ,COMM/IND,inf
Hegewisch                               ,CONDO,inf
Hegewisch                               ,NON PROFIT,inf
Hegewisch                               ,SINGLE FAMILY,10.314258911819888
Hegewisch                               ,TOWN HOUSE,29.173913043478258
Hegewisch                               ,VACANT LAND,inf
Hermosa                                 ,2-6 UNIT,10.67013888888889
Hermosa                                 ,7+ UNIT,inf
Hermosa                                 ,COMM/IND,inf
Hermosa                                 ,CONDO,inf
Hermosa                                 ,SINGLE FAMILY,17.26389085754784
Hermosa                                 ,VACANT LAND,
Humboldt Park                           ,2-6 UNIT,7.997871004415303
Humboldt Park                           ,7+ UNIT,inf
Humboldt Park                           ,COMM/IND,inf
Humboldt Park                           ,CONDO,inf
Humboldt Park                           ,SINGLE FAMILY,11.465686274509803
Humboldt Park                           ,TOWN HOUSE,14.025134649910234
Humboldt Park                           ,VACANT LAND,inf
Hyde Park                               ,2-6 UNIT,8.466388078924108
Hyde Park                               ,7+ UNIT,inf
Hyde Park                               ,COMM/IND,inf
Hyde Park                               ,CONDO,inf
Hyde Park                               ,NON PROFIT,inf
Hyde Park                               ,SINGLE FAMILY,18.188205128205126
Hyde Park                               ,TOWN HOUSE,16.57219570405728
Hyde Park                               ,VACANT LAND,
Irving Park                             ,2-6 UNIT,12.281857451403887
Irving Park                             ,7+ UNIT,inf
Irving Park                             ,COMM/IND,inf
Irving Park                             ,CONDO,inf
Irving Park                             ,NON PROFIT,inf
Irving Park                             ,SINGLE FAMILY,20.5553488372093
Irving Park                             ,TOWN HOUSE,17.59469696969697
Irving Park                             ,VACANT LAND,15.614711729622266
Jefferson Park                          ,2-6 UNIT,14.462885154061624
Jefferson Park                          ,7+ UNIT,inf
