CA_name,PTYPE2011,bldg_assmt_11_psf
West Ridge                              ,NON PROFIT,inf
West Ridge                              ,SINGLE FAMILY,14.640275875956505
West Ridge                              ,TOWN HOUSE,11.671091580302107
West Ridge                              ,VACANT LAND,inf
West Town                               ,2-6 UNIT,12.856580829756796
West Town                               ,7+ UNIT,inf
West Town                               ,COMM/IND,inf
West Town                               ,CONDO,inf
West Town                               ,NON PROFIT,inf
West Town                               ,SINGLE FAMILY,23.174290913654616
West Town                               ,TOWN HOUSE,22.217627856365613
West Town                               ,VACANT LAND,inf
Woodlawn                                ,2-6 UNIT,5.705674900700447
Woodlawn                                ,7+ UNIT,inf
Woodlawn                                ,COMM/IND,inf
Woodlawn                                ,CONDO,inf
Woodlawn                                ,SINGLE FAMILY,7.380434782608695
Woodlawn                                ,TOWN HOUSE,13.459403192227619
Woodlawn                                ,VACANT LAND,inf
